unitid,name,city,state,control
177834,A T Still University of Health Sciences,Kirksville,Missouri,Private not-for-profit
180203,Aaniiih Nakoda College,Harlem,Montana,Public
222178,Abilene Christian University,Abilene,Texas,Private not-for-profit
497037,Abilene Christian University-Undergraduate Online,Addison,Texas,Private not-for-profit
138558,Abraham Baldwin Agricultural College,Tifton,Georgia,Public
488031,Abraham Lincoln University,Glendale,California,Private for-profit
172866,Academy College,Bloomington,Minnesota,Private for-profit
451079,Academy for Five Element Acupuncture,Gainesville,Florida,Private not-for-profit
497718,Academy for Jewish Religion,Yonkers,New York,Private not-for-profit
457271,Academy for Jewish Religion-California,Los Angeles,California,Private not-for-profit
412173,Academy for Nursing and Health Occupations,West Palm Beach,Florida,Private not-for-profit
108232,Academy of Art University,San Francisco,California,Private for-profit
108269,Academy of Chinese Culture and Health Sciences,Oakland,California,Private not-for-profit
487658,Academy of Interactive Entertainment,Lafayette,Louisiana,Private not-for-profit
384306,Acupuncture and Integrative Medicine College-Berkeley,Berkeley,California,Private not-for-profit
439969,Acupuncture and Massage College,Miami,Florida,Private for-profit
126182,Adams State University,Alamosa,Colorado,Public
188429,Adelphi University,Garden City,New York,Private not-for-profit
374024,Adler Graduate School,Minnetonka,Minnesota,Private not-for-profit
142832,Adler University,Chicago,Illinois,Private not-for-profit
