unitid,name,Web_address,city,state,control
177834,A T Still University of Health Sciences,www.atsu.edu/,Kirksville,Missouri,Private not-for-profit
180203,Aaniiih Nakoda College,www.ancollege.edu/,Harlem,Montana,Public
222178,Abilene Christian University,www.acu.edu/,Abilene,Texas,Private not-for-profit
497037,Abilene Christian University-Undergraduate Online,www.acu.edu/academics/online/undergraduate,Addison,Texas,Private not-for-profit
138558,Abraham Baldwin Agricultural College,www.abac.edu/,Tifton,Georgia,Public
488031,Abraham Lincoln University,www.alu.edu/,Glendale,California,Private for-profit
172866,Academy College,www.academycollege.edu/,Bloomington,Minnesota,Private for-profit
451079,Academy for Five Element Acupuncture,www.acupuncturist.edu/,Gainesville,Florida,Private not-for-profit
497718,Academy for Jewish Religion,ajr.edu/,Yonkers,New York,Private not-for-profit
457271,Academy for Jewish Religion-California,www.ajrca.edu/,Los Angeles,California,Private not-for-profit
412173,Academy for Nursing and Health Occupations,www.anho.edu/,West Palm Beach,Florida,Private not-for-profit
108232,Academy of Art University,www.academyart.edu/,San Francisco,California,Private for-profit
108269,Academy of Chinese Culture and Health Sciences,www.acchs.edu/,Oakland,California,Private not-for-profit
487658,Academy of Interactive Entertainment,lafayette.aie.edu/,Lafayette,Louisiana,Private not-for-profit
384306,Acupuncture and Integrative Medicine College-Berkeley,www.aimc.edu/,Berkeley,California,Private not-for-profit
439969,Acupuncture and Massage College,www.amcollege.edu/,Miami,Florida,Private for-profit
126182,Adams State University,www.adams.edu/,Alamosa,Colorado,Public
188429,Adelphi University,www.adelphi.edu/,Garden City,New York,Private not-for-profit
374024,Adler Graduate School,www.alfredadler.edu/,Minnetonka,Minnesota,Private not-for-profit
142832,Adler University,www.adler.edu/,Chicago,Illinois,Private not-for-profit
