unitid,name,Web_address,city,state,control,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience,nces_profile_xlsx_downloaded,nces_profile_xlsx_filename,nces_profile_xlsx_dir,nces_profile_xlsx_parse_ok,nces_profile_xlsx_error,tuition_fees_ug_2024_25,tuition_fees_grad_2024_25,enrollment_total,enrollment_men,enrollment_women,pct_American Indian or Alaska Native,pct_Asian,pct_Black or African American,pct_Hispanic,pct_Native Hawaiian or Other Pacific Islander,pct_White,pct_Two or more races,pct_Race/ethnicity unknown,pct_U.S. Nonresident
177834,A T Still University of Health Sciences,www.atsu.edu/,Kirksville,Missouri,Private not-for-profit,https://www.atsu.edu/programs,score=428;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://www.atsu.edu/programs/|https://www.atsu.edu/catalogue/20252026|https://www.atsu.edu/catalogue/2526|https://www.atsu.edu/catalog/20252026|https://www.atsu.edu/catalog/2526,1,degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/american-university-of-health-sciences/majors,cv_unresolved,0,,,ethnic|ethnicity,,race,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/177834/1773259116846,1,,,43335,3466,1150,2316,0.5,15.4,7.3,12.8,0.2,51.2,5.6,3.2,3.8
180203,Aaniiih Nakoda College,www.ancollege.edu/,Harlem,Montana,Public,https://www.ancollege.edu/ecology,score=129;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=6;canonicalHub=0;flags=,exceptions_seen,https://www.ancollege.edu/certificates|https://www.ancollege.edu/arts|https://www.ancollege.edu/sciences|https://www.ancollege.edu/careers|https://www.ancollege.edu/post/rn-program-seeking-new-students,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,7,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/aaniiih-nakoda-college/majors,cv_unresolved,0,,,,Blackfeet,,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/180203/1773259120033,1,,3080,,120,53,67,87.5,0.8,0.8,0.0,0.0,10.8,0.0,0.0,0.0
222178,Abilene Christian University,www.acu.edu/,Abilene,Texas,Private not-for-profit,https://www.acu.edu/majors,score=545;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=10;canonicalHub=1;flags=,exceptions_seen,https://www.acu.edu/majors/|https://www.acu.edu/academics/programs/|https://www.acu.edu/academics/programs|https://www.acu.edu/academics/business-administration/departments|https://www.acu.edu/academics/business-administration/departments/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/abilene-christian-university/majors,cv_unresolved,0,,,,,,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/222178/1773259123502,1,,44200,26424,5219,1805,3414,0.6,2.1,13.0,17.8,0.1,54.0,3.3,5.6,3.5
497037,Abilene Christian University-Undergraduate Online,www.acu.edu/academics/online/undergraduate,Addison,Texas,Private not-for-profit,https://www.acu.edu/majors,score=545;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=10;canonicalHub=1;flags=,exceptions_seen,https://www.acu.edu/majors/|https://www.acu.edu/academics/programs|https://www.acu.edu/academics/programs/|https://www.acu.edu/academics/business-administration/departments|https://www.acu.edu/academics/business-administration/departments/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/abilene-christian-university-undergraduate-online/majors,cv_unresolved,0,,,,,,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/497037/1773259126943,1,,14520,,1224,213,1011,0.5,1.8,19.6,20.3,0.1,48.2,4.2,4.8,0.4
138558,Abraham Baldwin Agricultural College,www.abac.edu/,Tifton,Georgia,Public,https://www.abac.edu/programs/,score=440;tier=inventory;hubSig=0;listingLinks=5;slugDiv=1;structHits=4;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.abac.edu/programs|https://www.abac.edu/catalog|https://www.abac.edu/catalog/|https://www.abac.edu/programs/index.html|https://www.abac.edu/programs/index.html,1,bachelor|degrees|minors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/abraham-baldwin-agricultural-college/majors,cv_unresolved,0,,,,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/138558/1773259129992,1,,,,3825,1482,2343,0.2,1.0,9.0,10.2,0.1,76.8,1.6,0.5,0.7
488031,Abraham Lincoln University,www.alu.edu/,Glendale,California,Private for-profit,https://www.alu.edu/catalog/,score=164;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=1;canonicalHub=0;flags=,429_rate_limited_seen,https://www.alu.edu/catalog|https://www.alu.edu/academics/bachelor-degrees/|https://www.alu.edu/about/university-staff/|https://www.alu.edu/academics/school-of-legal-studies/|https://www.alu.edu/alu-admissions/international-applicants/,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/abraham-lincoln-university/majors,cv_unresolved,0,,,ethnically,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/488031/1773259133408,1,,10440,8160,112,51,61,0.0,9.8,10.7,26.8,0.9,31.2,8.0,11.6,0.9
172866,Academy College,www.academycollege.edu/,Bloomington,Minnesota,Private for-profit,https://www.academycollege.edu/academics/programs,score=438;tier=inventory;hubSig=0;listingLinks=8;slugDiv=2;structHits=3;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://www.academycollege.edu/academics/programs/|https://www.academycollege.edu/programs/|https://www.academycollege.edu/programs|https://www.academycollege.edu/wp-content/uploads/2024/08/AC-Catalog33-Addendum-07-31-24.pdf|https://www.academycollege.edu/wp-content/uploads/2026/01/ADM.-Academy-College-Catalog-With-Addendum.-01-05-26.pdf,1,BA|BS|bachelor|degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-college/majors,cv_unresolved,0,,,,Black|black,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-58.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/172866/1773259136486,1,,18252,,56,48,8,0.0,3.6,7.1,8.9,0.0,46.4,5.4,28.6,0.0
451079,Academy for Five Element Acupuncture,www.acupuncturist.edu/,Gainesville,Florida,Private not-for-profit,https://www.acupuncturist.edu/academics/programs/,score=428;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://www.acupuncturist.edu/programs|https://www.acupuncturist.edu/programs/|https://www.acupuncturist.edu/academics/programs|https://www.acupuncturist.edu/|https://www.acupuncturist.edu/,1,degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-for-five-element-acupuncture/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-59.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/451079/1773259139932,1,,,21656,39,7,32,2.6,2.6,2.6,17.9,0.0,66.7,2.6,5.1,0.0
497718,Academy for Jewish Religion,ajr.edu/,Yonkers,New York,Private not-for-profit,https://ajr.edu/academics/programs/,score=420;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://ajr.edu/programs|https://ajr.edu/programs/|https://ajr.edu/academics/programs|https://ajr.edu/programs-of-study/kol-bo/|https://ajr.edu/programs-of-study/cantorial/,0,degrees|minors|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-for-jewish-religion/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-59.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/497718/1773259143014,1,,,35901,82,24,58,0.0,0.0,1.2,7.3,0.0,85.4,1.2,0.0,4.9
457271,Academy for Jewish Religion-California,www.ajrca.edu/,Los Angeles,California,Private not-for-profit,https://www.ajrca.edu/academics/programs,score=428;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://www.ajrca.edu/programs|https://www.ajrca.edu/programs/|https://www.ajrca.edu/academics/programs/|https://www.ajrca.edu/academic-catalog/2526|https://www.ajrca.edu/,1,degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/academy-for-jewish-religion-california/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,institution-profile-2026-03-11-15-59.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/457271/1773259146077,1,,,29670,58,22,36,0.0,0.0,6.9,0.0,0.0,93.1,0.0,0.0,0.0
